Date,Action,Cash,Equity,Price
2024-12-04,HOLD,406.52,1.0,471.09
2024-12-05,HOLD,406.52,1.0,468.78
2024-12-06,SELL 1.0 @ 470.58,877.1,0.0,470.58
2024-12-09,HOLD,877.1,0.0,470.6
2024-12-10,HOLD,877.1,0.0,464.42
2024-12-11,HOLD,877.1,0.0,463.33
2024-12-12,HOLD,877.1,0.0,462.16
2024-12-13,HOLD,877.1,0.0,460.51
2024-12-16,HOLD,877.1,0.0,459.17
2024-12-17,HOLD,877.1,0.0,454.695
2024-12-18,HOLD,877.1,0.0,457.06
2024-12-19,HOLD,877.1,0.0,451.73
2024-12-20,HOLD,877.1,0.0,449.11
2024-12-23,HOLD,877.1,0.0,453.19
2024-12-24,HOLD,877.1,0.0,455.41
2024-12-26,HOLD,877.1,0.0,457.265
2024-12-27,HOLD,877.1,0.0,457.3
2024-12-30,HOLD,877.1,0.0,454.245
2024-12-31,HOLD,877.1,0.0,452.205
2025-01-02,HOLD,877.1,0.0,455.96
2025-01-03,HOLD,877.1,0.0,452.53
2025-01-06,HOLD,877.1,0.0,453.85
2025-01-07,HOLD,877.1,0.0,452.8
2025-01-08,HOLD,877.1,0.0,453.63
2025-01-10,HOLD,877.1,0.0,452.66
2025-01-13,HOLD,877.1,0.0,442.04
2025-01-14,HOLD,877.1,0.0,445.5
2025-01-15,HOLD,877.1,0.0,455.55
2025-01-16,HOLD,877.1,0.0,458.93
2025-01-17,BUY 1.0 @ 464.71,412.39,1.0,464.71
2025-01-21,HOLD,412.39,1.0,471.0
2025-01-22,HOLD,412.39,1.0,468.59
2025-01-23,HOLD,412.39,1.0,461.68
2025-01-24,HOLD,412.39,1.0,459.2
2025-01-27,HOLD,412.39,1.0,464.3
2025-01-28,HOLD,412.39,1.0,473.93
2025-01-29,HOLD,412.39,1.0,469.88
2025-01-30,HOLD,412.39,1.0,472.2
2025-01-31,HOLD,412.39,1.0,471.84
2025-02-03,HOLD,412.39,1.0,461.3
2025-02-04,HOLD,412.39,1.0,464.94
2025-02-05,HOLD,412.39,1.0,469.81
2025-02-06,HOLD,412.39,1.0,475.46
2025-02-07,HOLD,412.39,1.0,477.41
2025-02-10,HOLD,412.39,1.0,473.96
2025-02-11,HOLD,412.39,1.0,470.05
2025-02-12,HOLD,412.39,1.0,470.44
2025-02-13,HOLD,412.39,1.0,471.55
2025-02-14,HOLD,412.39,1.0,481.47
2025-02-18,HOLD,412.39,1.0,480.4
2025-02-19,HOLD,412.39,1.0,482.82
2025-02-20,HOLD,412.39,1.0,484.125
2025-02-21,HOLD,412.39,1.0,480.95
2025-02-24,HOLD,412.39,1.0,483.5
2025-02-25,HOLD,412.39,1.0,503.15
2025-02-26,HOLD,412.39,1.0,499.115
2025-02-27,HOLD,412.39,1.0,496.45
2025-02-28,HOLD,412.39,1.0,507.46
2025-03-03,HOLD,412.39,1.0,516.22
2025-03-04,HOLD,412.39,1.0,507.27
2025-03-05,HOLD,412.39,1.0,496.0
2025-03-06,HOLD,412.39,1.0,496.835
2025-03-07,HOLD,412.39,1.0,496.29
2025-03-10,HOLD,412.39,1.0,490.0
2025-03-11,HOLD,412.39,1.0,496.0
2025-03-12,HOLD,412.39,1.0,497.6
2025-03-13,HOLD,412.39,1.0,496.46
2025-03-14,HOLD,412.39,1.0,506.95
2025-03-17,HOLD,412.39,1.0,514.62
2025-03-18,HOLD,412.39,1.0,525.45
2025-03-19,HOLD,412.39,1.0,525.69
