Date, Open, High, Low, Close, Volume
05/28/24, 408.24, 408.24, 401.87, 403.90, 3321863
05/24/24, 406.90, 407.9599, 405.50, 407.41, 2068921
05/23/24, 413.25, 413.25, 404.87, 405.88, 3398121
05/22/24, 414.95, 417.26, 412.96, 413.99, 2673507
05/21/24, 413.59, 415.70, 412.56, 414.37, 2740759
05/20/24, 417.04, 417.28, 412.615, 413.00, 3292715
05/17/24, 413.98, 417.33, 413.70, 416.94, 2990028
05/16/24, 413.80, 416.34, 412.91, 413.12, 3550693
05/15/24, 410.51, 413.40, 410.10, 412.76, 2857594
05/14/24, 410.45, 411.5592, 408.17, 410.24, 2674407
05/13/24, 414.06, 414.2996, 410.19, 411.22, 2711154
05/10/24, 409.85, 412.38, 409.20, 412.05, 3087837
05/09/24, 406.25, 408.87, 405.46, 408.82, 2358862
05/08/24, 406.47, 407.229, 403.75, 406.37, 2399639
05/07/24, 406.93, 407.26, 403.6105, 406.14, 3085702
05/06/24, 403.96, 405.15, 399.26, 404.92, 3920908
05/03/24, 404.50, 404.50, 399.21, 400.87, 4130994
05/02/24, 401.00, 401.56, 397.88, 400.60, 2679740
05/01/24, 396.61, 402.32, 396.35, 398.58, 2606198
04/30/24, 400.58, 400.60, 396.37, 396.73, 3074765
04/29/24, 402.66, 404.87, 400.08, 400.96, 2365421
04/26/24, 403.92, 404.75, 401.41, 402.10, 3025406
04/25/24, 404.85, 406.14, 400.35, 404.91, 2676009
04/24/24, 407.10, 407.62, 403.88, 405.95, 2508495
04/23/24, 410.25, 410.72, 405.64, 408.74, 2288595
04/22/24, 406.84, 411.35, 406.25, 408.78, 2981614
04/19/24, 401.04, 405.57, 400.17, 405.08, 3999913
04/18/24, 399.70, 402.99, 399.10, 399.89, 2672415
04/17/24, 398.94, 399.28, 395.661, 397.74, 2466391
04/16/24, 400.97, 401.25, 396.50, 396.92, 3438078
04/15/24, 406.99, 409.0554, 399.86, 400.26, 3004477
04/12/24, 405.00, 407.21, 401.44, 403.26, 3469707
04/11/24, 408.40, 411.1499, 404.0531, 407.61, 2891952
04/10/24, 412.74, 413.56, 407.53, 409.11, 3125230
04/09/24, 416.58, 417.32, 412.12, 414.69, 2234137
04/08/24, 418.32, 418.57, 415.625, 415.97, 2486651
04/05/24, 416.56, 419.27, 415.41, 418.62, 2739587
04/04/24, 423.84, 424.52, 414.55, 415.32, 3802994
04/03/24, 419.00, 421.9099, 418.52, 420.24, 2742174
04/02/24, 419.75, 421.01, 418.085, 418.92, 3175139
04/01/24, 421.49, 421.66, 417.81, 420.20, 2718872
03/28/24, 417.80, 421.44, 415.85, 420.52, 4378770
03/27/24, 413.65, 417.21, 413.40, 416.93, 2929158
03/26/24, 410.00, 412.66, 408.6001, 411.57, 2936406
03/25/24, 410.67, 411.065, 408.9244, 409.92, 2808910
03/22/24, 413.00, 414.35, 411.40, 411.60, 3000546
03/21/24, 416.70, 417.825, 413.51, 413.78, 3402874
03/20/24, 412.02, 416.31, 411.55, 416.11, 2935528
03/19/24, 409.08, 412.19, 408.09, 411.76, 2804025
03/18/24, 408.70, 410.5999, 406.00, 408.41, 3778561
03/15/24, 404.27, 408.46, 402.50, 408.13, 7557843
03/14/24, 409.08, 409.08, 403.34, 406.73, 3739644
03/13/24, 405.30, 409.00, 404.15, 408.13, 3586358
03/12/24, 406.78, 407.20, 404.10, 404.98, 2620804
03/11/24, 403.30, 405.01, 402.7406, 404.76, 2438383
03/08/24, 401.08, 403.36, 400.01, 403.15, 3417859
03/07/24, 406.11, 406.40, 399.5699, 402.39, 4187608
03/06/24, 402.18, 407.44, 401.695, 403.96, 3842562
03/05/24, 402.55, 403.3279, 398.78, 400.74, 4714395
03/04/24, 405.00, 405.95, 401.43, 403.39, 4183800
03/01/24, 409.48, 410.39, 405.45, 407.11, 3284244
02/29/24, 413.10, 413.79, 408.38, 409.40, 4849104
02/28/24, 408.50, 414.665, 407.7126, 412.14, 4069203
02/27/24, 409.21, 409.9625, 401.71, 408.91, 4610892
02/26/24, 422.00, 430.00, 408.8468, 409.14, 7446190
02/23/24, 417.68, 420.56, 416.52, 417.22, 4025164
02/22/24, 411.30, 416.26, 411.00, 415.16, 3697494
02/21/24, 408.26, 409.48, 406.70, 409.25, 2720475
02/20/24, 406.47, 411.11, 406.06, 407.15, 3534163
02/16/24, 404.44, 406.74, 402.59, 405.99, 3533386
02/15/24, 399.14, 404.2699, 398.30, 403.45, 3076698
02/14/24, 395.15, 398.86, 393.5477, 398.68, 2670953
02/13/24, 397.18, 399.705, 392.10, 394.80, 3459672
02/12/24, 398.65, 399.48, 396.19, 397.71, 2820408
02/09/24, 397.31, 398.36, 395.82, 398.36, 2510146
02/08/24, 397.22, 398.65, 394.85, 397.49, 3359311
02/07/24, 394.60, 399.15, 394.36, 397.66, 3429024
02/06/24, 390.29, 393.93, 390.00, 393.74, 2574602
02/05/24, 389.95, 393.37, 389.285, 390.76, 3653265
02/02/24, 386.68, 392.07, 386.44, 390.75, 3808499
02/01/24, 384.00, 386.55, 381.475, 386.44, 2949959
01/31/24, 386.53, 387.92, 383.55, 383.74, 3857684
01/30/24, 383.24, 387.64, 380.08, 387.15, 3094226
01/29/24, 385.49, 385.70, 379.17, 383.18, 3799251
01/26/24, 381.05, 385.73, 380.00, 385.40, 3624361
01/25/24, 379.24, 380.99, 377.89, 380.85, 4059189
01/24/24, 372.53, 377.79, 372.03, 376.59, 4594038
01/23/24, 368.02, 372.42, 367.705, 372.14, 2900467
01/22/24, 368.05, 369.27, 366.53, 368.06, 3558313
01/19/24, 362.25, 368.31, 361.02, 366.99, 4092548
01/18/24, 359.25, 362.64, 358.30, 362.38, 3008442
01/17/24, 359.01, 362.53, 357.98, 359.29, 2551707
01/16/24, 362.94, 363.60, 359.89, 361.10, 3047780
01/12/24, 366.51, 366.85, 362.5672, 363.62, 2623907
01/11/24, 367.81, 367.89, 362.13, 363.34, 3579713
01/10/24, 366.26, 368.83, 365.75, 367.92, 2448737
01/09/24, 368.00, 368.00, 364.77, 366.90, 2999607
